PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40079240,Positive susceptibility-based contrast imaging with dephased balanced steady-state free precession.,2025-03-13,N/A,N/A,N/A
40079232,A dual-purification system to isolate mitochondrial subpopulations.,2025-03-13,N/A,N/A,N/A
40079228,"Radiological risk assessment due to radon in bottled drinking water sold in Kahramanmaraş town, Turkiye.",2025-03-13,N/A,N/A,N/A
40079227,Organelle-targeted BODIPY-conjugated platinum(IV) anticancer prodrugs for overcoming drug resistance.,2025-03-13,N/A,N/A,"Institute of Flow Chemistry and Engineering, School of Chemistry and Materials, Jiangxi Normal University, Nanchang 330022, China. tyuan@jxnu.edu.cn."
40079211,Electrochemical biosensing in oncology: a review advancements and prospects for cancer diagnosis.,2025-03-13,N/A,N/A,N/A
40079203,Controversy and multiple roles of the solitary nucleus receptor Nur77 in disease and physiology.,2025-Mar-31,N/A,N/A,N/A
40079200,Identification and validation of transcriptome-wide association study-derived genes as potential druggable targets for osteoarthritis.,2025-03-13,N/A,N/A,N/A
40079196,Exploring the impact of RPN1 on tumorigenesis and immune response in cancer.,2025-Mar-31,N/A,N/A,N/A
40079180,"Design, synthesis and biological evaluation of pyrazolo[3,4-",2025-03-13,N/A,N/A,N/A
40079167,Developing and Implementing a Colorectal Cancer Screening Program in Uganda: Stakeholder Perceived Barriers and Opportunities.,2025-Mar-N/A,N/A,N/A,N/A
40079126,Development of a Calreticulin-targeting Glycan Ligand Based on a Hybrid Binding Concept.,2025-03-13,N/A,N/A,N/A
40079116,Intratumoral Injection of R848 and Poly(I:C) Synergistically Promoted Antitumour Immune Responses by Reprogramming Macrophage Polarization and Activating DCs in Lung Cancer.,2025-03-13,N/A,N/A,N/A
40079115,Cascade-Responsive Nanoprodrug Disrupts Immune-Fibroblast Communications for Potentiated Cancer Mechanoimmunotherapy.,2025-03-13,N/A,N/A,N/A
40079105,Impact of hematopoietic cell transplantation and quizartinib in newly diagnosed patients with acute myeloid leukemia and FMS-like tyrosine kinase 3-internal tandem duplications in the QuANTUM-First trial.,2025-03-13,N/A,N/A,"National Center of Tumor Diseases Trial Center, German Cancer Research Center and Heidelberg University Hospital, Heidelberg, Germany; Department of Internal Medicine V, Heidelberg University Hospital, Heidelberg. richard.schlenk@nct-heidelberg.de."
40079099,Integration of Photodiagnosis and Therapy Guided by Micro/Nanorobots.,2025-03-13,N/A,N/A,N/A
